gender,min,max,range,group_2010,age,count_2010
Female,0,4,5,20457,2,4091.4
Female,5,9,5,17381,7,3476.2
Female,10,14,5,17030,12,3406
Female,18,19,2,11312,18.5,5656
Female,20,24,5,29958,22,5991.6
Female,25,29,5,30572,27,6114.4
Female,30,34,5,23780,32,4756
Female,35,39,5,19400,37,3880
Female,40,44,5,20005,42,4001
Female,45,49,5,22547,47,4509.4
Female,50,54,5,23404,52,4680.8
Female,55,59,5,20410,57,4082
Female,60,64,5,16866,62,3373.2
Female,65,69,5,12466,67,2493.2
Female,70,74,5,9654,72,1930.8
Female,75,79,5,8168,77,1633.6
Female,80,84,5,6815,82,1363
Female,85,89,5,4616,87,923.2
Female,90,110,21,2686,100,127.9047619
Male,0,4,5,20695,2,4139
Male,5,9,5,18060,7,3612
Male,10,14,5,17309,12,3461.8
Male,15,17,3,11443,16,3814.333333
Male,18,19,2,10338,18.5,5169
Male,20,24,5,26502,22,5300.4
Male,25,29,5,27103,27,5420.6
Male,30,34,5,22109,32,4421.8
Male,35,39,5,18165,37,3633
Male,40,44,5,18994,42,3798.8
Male,45,49,5,21025,47,4205
Male,50,54,5,20469,52,4093.8
Male,55,59,5,17568,57,3513.6
Male,60,64,5,14062,62,2812.4
Male,65,69,5,9632,67,1926.4
Male,70,74,5,6800,72,1360
Male,75,79,5,5229,77,1045.8
Male,80,84,5,3698,82,739.6
Male,85,89,5,2175,87,435
Male,90,110,21,873,100,41.57142857
Female,15,17,3,11185,16,3728.333333
