date,ten_year_yield,two_year_yield
1/2/1962,4.06,NULL
1/3/1962,4.03,NULL
1/4/1962,3.99,NULL
1/5/1962,4.02,NULL
1/8/1962,4.03,NULL
1/9/1962,4.05,NULL
1/10/1962,4.07,NULL
1/11/1962,4.08,NULL
1/12/1962,4.08,NULL
1/15/1962,4.1,NULL
1/16/1962,4.13,NULL
1/17/1962,4.12,NULL
1/18/1962,4.11,NULL
1/19/1962,4.11,NULL
1/22/1962,4.09,NULL
1/23/1962,4.11,NULL
1/24/1962,4.1,NULL
1/25/1962,4.11,NULL
1/26/1962,4.11,NULL
1/29/1962,4.12,NULL
1/30/1962,4.11,NULL
1/31/1962,4.1,NULL
2/1/1962,4.09,NULL
2/2/1962,4.08,NULL
2/5/1962,4.07,NULL
2/6/1962,4.06,NULL
2/7/1962,4.07,NULL
2/8/1962,4.07,NULL
2/9/1962,4.05,NULL
2/12/1962,NULL,NULL
2/13/1962,4.03,NULL
2/14/1962,4.03,NULL
2/15/1962,4.02,NULL
2/16/1962,4.02,NULL
2/19/1962,4.01,NULL
2/20/1962,4.05,NULL
2/21/1962,4.03,NULL
2/22/1962,NULL,NULL
2/23/1962,4.02,NULL
2/26/1962,4,NULL
2/27/1962,4.01,NULL
2/28/1962,4,NULL
3/1/1962,3.98,NULL
3/2/1962,3.98,NULL
3/5/1962,4,NULL
3/6/1962,4.01,NULL
3/7/1962,4,NULL
3/8/1962,3.98,NULL
3/9/1962,3.96,NULL
3/12/1962,3.94,NULL
3/13/1962,3.92,NULL
3/14/1962,3.93,NULL
3/15/1962,3.96,NULL
3/16/1962,3.96,NULL
3/19/1962,3.93,NULL
3/20/1962,3.91,NULL
3/21/1962,3.86,NULL
3/22/1962,3.83,NULL
3/23/1962,3.87,NULL
3/26/1962,3.89,NULL
3/27/1962,3.9,NULL
3/28/1962,3.9,NULL
3/29/1962,3.9,NULL
3/30/1962,3.86,NULL
4/2/1962,3.86,NULL
4/3/1962,3.83,NULL
4/4/1962,3.78,NULL
4/5/1962,3.84,NULL
4/6/1962,3.81,NULL
4/9/1962,3.83,NULL
4/10/1962,3.83,NULL
4/11/1962,3.87,NULL
4/12/1962,3.86,NULL
4/13/1962,3.85,NULL
4/16/1962,3.83,NULL
4/17/1962,3.82,NULL
4/18/1962,3.81,NULL
4/19/1962,3.82,NULL
4/20/1962,NULL,NULL
4/23/1962,3.86,NULL
4/24/1962,3.87,NULL
4/25/1962,3.88,NULL
4/26/1962,3.89,NULL
4/27/1962,3.86,NULL
4/30/1962,3.86,NULL
5/1/1962,3.85,NULL
5/2/1962,3.86,NULL
5/3/1962,3.86,NULL
5/4/1962,3.87,NULL
5/7/1962,3.86,NULL
5/8/1962,3.85,NULL
5/9/1962,3.82,NULL
5/10/1962,3.83,NULL
5/11/1962,3.82,NULL
5/14/1962,3.85,NULL
5/15/1962,3.87,NULL
5/16/1962,3.86,NULL
5/17/1962,3.87,NULL
