observation_date,u3_hs,u3_bachplus,gdp_real,q1_wkinc,q3_wkinc,mdn_wkinc_hs,mdn_wkinc_bachplus,mdn_sqft_house_start,mean_sqft_house_start
1969-01-01,NA,NA,4920.605,NA,NA,NA,NA,NA,NA
1969-04-01,NA,NA,4935.564,NA,NA,NA,NA,NA,NA
1969-07-01,NA,NA,4968.164,NA,NA,NA,NA,NA,NA
1969-10-01,NA,NA,4943.935,NA,NA,NA,NA,NA,NA
1970-01-01,NA,NA,4936.594,NA,NA,NA,NA,NA,NA
1970-04-01,NA,NA,4943.6,NA,NA,NA,NA,NA,NA
1970-07-01,NA,NA,4989.159,NA,NA,NA,NA,NA,NA
1970-10-01,NA,NA,4935.693,NA,NA,NA,NA,NA,NA
1971-01-01,NA,NA,5069.746,NA,NA,NA,NA,NA,NA
1971-04-01,NA,NA,5097.179,NA,NA,NA,NA,NA,NA
1971-07-01,NA,NA,5139.128,NA,NA,NA,NA,NA,NA
1971-10-01,NA,NA,5151.245,NA,NA,NA,NA,NA,NA
1972-01-01,NA,NA,5245.974,NA,NA,NA,NA,NA,NA
1972-04-01,NA,NA,5365.045,NA,NA,NA,NA,NA,NA
1972-07-01,NA,NA,5415.712,NA,NA,NA,NA,NA,NA
1972-10-01,NA,NA,5506.396,NA,NA,NA,NA,NA,NA
1973-01-01,NA,NA,5642.669,NA,NA,NA,NA,NA,NA
1973-04-01,NA,NA,5704.098,NA,NA,NA,NA,NA,NA
1973-07-01,NA,NA,5674.1,NA,NA,NA,NA,NA,NA
1973-10-01,NA,NA,5727.96,NA,NA,NA,NA,NA,NA
1974-01-01,NA,NA,5678.713,NA,NA,NA,NA,NA,NA
1974-04-01,NA,NA,5692.21,NA,NA,NA,NA,NA,NA
1974-07-01,NA,NA,5638.411,NA,NA,NA,NA,NA,NA
1974-10-01,NA,NA,5616.526,NA,NA,NA,NA,NA,NA
1975-01-01,NA,NA,5548.156,NA,NA,NA,NA,NA,NA
1975-04-01,NA,NA,5587.8,NA,NA,NA,NA,NA,NA
1975-07-01,NA,NA,5683.444,NA,NA,NA,NA,NA,NA
1975-10-01,NA,NA,5759.972,NA,NA,NA,NA,NA,NA
1976-01-01,NA,NA,5889.5,NA,NA,NA,NA,NA,NA
1976-04-01,NA,NA,5932.711,NA,NA,NA,NA,NA,NA
1976-07-01,NA,NA,5965.265,NA,NA,NA,NA,NA,NA
1976-10-01,NA,NA,6008.504,NA,NA,NA,NA,NA,NA
1977-01-01,NA,NA,6079.494,NA,NA,NA,NA,NA,NA
1977-04-01,NA,NA,6197.686,NA,NA,NA,NA,NA,NA
1977-07-01,NA,NA,6309.514,NA,NA,NA,NA,NA,NA
1977-10-01,NA,NA,6309.652,NA,NA,NA,NA,NA,NA
1978-01-01,NA,NA,6329.791,NA,NA,NA,NA,NA,NA
1978-04-01,NA,NA,6574.39,NA,NA,NA,NA,NA,NA
1978-07-01,NA,NA,6640.497,NA,NA,NA,NA,NA,NA
1978-10-01,NA,NA,6729.755,NA,NA,NA,NA,NA,NA
1979-01-01,NA,NA,6741.854,NA,NA,NA,NA,NA,NA
1979-04-01,NA,NA,6749.063,NA,NA,NA,NA,NA,NA
1979-07-01,NA,NA,6799.2,NA,NA,NA,NA,NA,NA
1979-10-01,NA,NA,6816.203,NA,NA,NA,NA,NA,NA
1980-01-01,NA,NA,6837.641,NA,NA,NA,NA,NA,NA
1980-04-01,NA,NA,6696.753,NA,NA,NA,NA,NA,NA
1980-07-01,NA,NA,6688.794,NA,NA,NA,NA,NA,NA
1980-10-01,NA,NA,6813.535,NA,NA,NA,NA,NA,NA
1981-01-01,NA,NA,6947.042,NA,NA,NA,NA,NA,NA
1981-04-01,NA,NA,6895.559,NA,NA,NA,NA,NA,NA
1981-07-01,NA,NA,6978.135,NA,NA,NA,NA,NA,NA
1981-10-01,NA,NA,6902.105,NA,NA,NA,NA,NA,NA
1982-01-01,NA,NA,6794.878,NA,NA,NA,NA,NA,NA
1982-04-01,NA,NA,6825.876,NA,NA,NA,NA,NA,NA
1982-07-01,NA,NA,6799.781,NA,NA,NA,NA,NA,NA
1982-10-01,NA,NA,6802.497,NA,NA,NA,NA,NA,NA
1983-01-01,NA,NA,6892.144,NA,NA,NA,NA,NA,NA
1983-04-01,NA,NA,7048.982,NA,NA,NA,NA,NA,NA
1983-07-01,NA,NA,7189.896,NA,NA,NA,NA,NA,NA
1983-10-01,NA,NA,7339.893,NA,NA,NA,NA,NA,NA
1984-01-01,NA,NA,7483.371,NA,NA,NA,NA,NA,NA
1984-04-01,NA,NA,7612.668,NA,NA,NA,NA,NA,NA
1984-07-01,NA,NA,7686.059,NA,NA,NA,NA,NA,NA
1984-10-01,NA,NA,7749.151,NA,NA,NA,NA,NA,NA
1985-01-01,NA,NA,7824.247,NA,NA,NA,NA,NA,NA
1985-04-01,NA,NA,7893.136,NA,NA,NA,NA,NA,NA
1985-07-01,NA,NA,8013.674,NA,NA,NA,NA,NA,NA
1985-10-01,NA,NA,8073.239,NA,NA,NA,NA,NA,NA
1986-01-01,NA,NA,8148.603,NA,NA,NA,NA,NA,NA
1986-04-01,NA,NA,8185.303,NA,NA,NA,NA,NA,NA
1986-07-01,NA,NA,8263.639,NA,NA,NA,NA,NA,NA
1986-10-01,NA,NA,8308.021,NA,NA,NA,NA,NA,NA
1987-01-01,NA,NA,8369.93,NA,NA,NA,NA,NA,NA
1987-04-01,NA,NA,8460.233,NA,NA,NA,NA,NA,NA
1987-07-01,NA,NA,8533.635,NA,NA,NA,NA,NA,NA
1987-10-01,NA,NA,8680.162,NA,NA,NA,NA,NA,NA
1988-01-01,NA,NA,8725.006,NA,NA,NA,NA,NA,NA
1988-04-01,NA,NA,8839.641,NA,NA,NA,NA,NA,NA
1988-07-01,NA,NA,8891.435,NA,NA,NA,NA,NA,NA
1988-10-01,NA,NA,9009.913,NA,NA,NA,NA,NA,NA
