month,recipients,mean_ss
1/1/1967,11713055,84.55
2/1/1967,11730905,84.67
3/1/1967,11651066,84.7
4/1/1967,11705026,84.8
5/1/1967,11659549,84.88
6/1/1967,11745225,84.97
7/1/1967,11819998,85.06
8/1/1967,11863800,85.11
9/1/1967,11886549,85.2
10/1/1967,11929226,85.25
11/1/1967,11972344,85.31
12/1/1967,12019371,85.37
1/1/1968,11614392,84.66
2/1/1968,12179295,98.25
3/1/1968,12085503,98.2
4/1/1968,12095524,98.22
5/1/1968,12133912,98.26
6/1/1968,12188476,98.33
7/1/1968,12234228,98.41
8/1/1968,12154067,98.57
9/1/1968,12335002,98.6
10/1/1968,12237501,98.59
11/1/1968,12324936,98.75
12/1/1968,12421371,98.86
1/1/1969,12466366,98.94
2/1/1969,12490995,99.28
3/1/1969,12498674,99.36
4/1/1969,12506233,99.42
5/1/1969,12530309,99.47
6/1/1969,12581528,99.69
7/1/1969,12642265,99.84
8/1/1969,12716140,99.98
9/1/1969,12768087,100.05
10/1/1969,12761636,100.09
11/1/1969,12785459,100.28
12/1/1969,12823677,100.4
1/1/1970,12856241,100.49
2/1/1970,12941180,100.76
3/1/1970,13031508,116.93
4/1/1970,12956633,116.98
5/1/1970,12990097,116.99
6/1/1970,13066466,117.1
7/1/1970,13115234,117.22
8/1/1970,13207672,117.4
9/1/1970,13254332,117.51
10/1/1970,13277245,117.79
11/1/1970,13309574,117.88
12/1/1970,13352145,118.1
1/1/1971,13377744,118.22
2/1/1971,13490413,118.54
3/1/1971,13450961,118.63
4/1/1971,13542114,131.1
5/1/1971,13537865,131.09
6/1/1971,13603779,131.24
7/1/1971,13686905,131.36
8/1/1971,13782417,131.5
9/1/1971,13846861,131.88
10/1/1971,13870177,131.92
11/1/1971,13890335,132.07
12/1/1971,13925444,132.16
1/1/1972,13988725,132.57
2/1/1972,14037678,132.76
3/1/1972,13998574,132.78
4/1/1972,14060130,132.94
5/1/1972,14099009,133.01
6/1/1972,14181190,133.15
7/1/1972,14265136,133.34
8/1/1972,14392459,161.47
9/1/1972,14394501,161.45
10/1/1972,14416601,161.54
11/1/1972,14454618,162
12/1/1972,14555475,162.35
1/1/1973,14602340,163.88
2/1/1973,14700234,164.17
3/1/1973,14684443,164.3
4/1/1973,14740130,164.56
5/1/1973,14761261,164.69
6/1/1973,14879677,164.8
7/1/1973,14948334,164.81
8/1/1973,15043093,165.3
9/1/1973,15106731,165.41
10/1/1973,15142611,165.53
11/1/1973,15307941,166.07
12/1/1973,15364044,166.42
1/1/1974,15457848,166.82
2/1/1974,15490472,166.98
3/1/1974,15513350,179.28
4/1/1974,15529411,179.35
5/1/1974,15493518,179.39
6/1/1974,15588935,186.47
7/1/1974,15659819,186.71
8/1/1974,15726168,186.9
9/1/1974,15787405,187.11
10/1/1974,15846191,187.29
11/1/1974,15908364,187.84
12/1/1974,15958492,188.21
1/1/1975,16040839,188.62
2/1/1975,16070281,188.79
3/1/1975,16080406,188.98
4/1/1975,16113058,189.11
5/1/1975,16166618,189.21
6/1/1975,16210295,205.16
7/1/1975,16293864,205.47
8/1/1975,16344560,205.59
9/1/1975,16387835,205.79
10/1/1975,16461422,206.3
11/1/1975,16518339,206.58
12/1/1975,16588174,207.18
1/1/1976,16682885,207.7
2/1/1976,16711176,207.85
3/1/1976,16710708,207.94
4/1/1976,16693365,208.01
5/1/1976,16715846,208.16
6/1/1976,16788920,222.37
7/1/1976,16869015,222.71
8/1/1976,16911750,222.98
9/1/1976,16981768,223.28
10/1/1976,17050349,223.97
11/1/1976,17116610,224.39
12/1/1976,17165415,224.86
1/1/1977,17252778,225.39
2/1/1977,17285615,225.61
3/1/1977,17264832,225.63
4/1/1977,17280515,225.74
5/1/1977,17304762,225.92
6/1/1977,17380343,240.17
7/1/1977,17476036,240.56
8/1/1977,17555887,240.89
9/1/1977,17630466,241.24
10/1/1977,17708627,242.04
11/1/1977,17770979,242.43
12/1/1977,17832484,242.98
1/1/1978,17911276,243.44
2/1/1978,17928926,243.83
3/1/1978,17908025,243.94
4/1/1978,17902417,244.01
5/1/1978,17920626,244.11
6/1/1978,17923921,260.21
7/1/1978,18026918,260.61
8/1/1978,18117760,261.08
