Date,sp5,fbndx
12/1/1927,17.66,
1/1/1928,17.57,
2/1/1928,17.26,
3/1/1928,19.280001,
4/1/1928,19.75,
5/1/1928,20,
6/1/1928,19.139999,
7/1/1928,19.43,
8/1/1928,20.870001,
9/1/1928,21.139999,
10/1/1928,21.68,
11/1/1928,24.280001,
12/1/1928,24.35,
1/1/1929,25.74,
2/1/1929,25.59,
3/1/1929,25.530001,
4/1/1929,25.940001,
5/1/1929,24.83,
6/1/1929,27.41,
7/1/1929,28.879999,
8/1/1929,31.709999,
9/1/1929,30.16,
10/1/1929,24.15,
11/1/1929,20.92,
12/1/1929,21.450001,
1/1/1930,22.790001,
2/1/1930,23.280001,
3/1/1930,24.15,
4/1/1930,24.9,
5/1/1930,24.49,
6/1/1930,20.459999,
7/1/1930,21.209999,
8/1/1930,21.370001,
9/1/1930,18.59,
10/1/1930,16.940001,
11/1/1930,16.379999,
12/1/1930,15.34,
1/1/1931,16.190001,
2/1/1931,18.030001,
3/1/1931,16.690001,
4/1/1931,15.09,
5/1/1931,13.02,
6/1/1931,14.83,
7/1/1931,13.73,
8/1/1931,13.86,
9/1/1931,9.71,
10/1/1931,10.43,
11/1/1931,9.5,
12/1/1931,8.12,
1/1/1932,7.94,
2/1/1932,8.29,
3/1/1932,7.31,
4/1/1932,5.83,
5/1/1932,4.47,
6/1/1932,4.43,
7/1/1932,6.03,
8/1/1932,8.39,
9/1/1932,8.08,
10/1/1932,6.96,
11/1/1932,6.55,
12/1/1932,6.92,
1/1/1933,6.94,
2/1/1933,5.66,
3/1/1933,5.85,
4/1/1933,7.83,
5/1/1933,9.64,
6/1/1933,10.91,
7/1/1933,9.95,
8/1/1933,11.09,
9/1/1933,9.72,
10/1/1933,8.96,
11/1/1933,9.88,
12/1/1933,9.97,
1/1/1934,11.17,
2/1/1934,10.76,
3/1/1934,10.62,
4/1/1934,10.46,
5/1/1934,9.61,
6/1/1934,9.81,
7/1/1934,8.68,
8/1/1934,9.15,
9/1/1934,9.08,
10/1/1934,8.81,
11/1/1934,9.54,
12/1/1934,9.5,
1/1/1935,9.1,
2/1/1935,8.74,
3/1/1935,8.45,
4/1/1935,9.28,
5/1/1935,9.58,
6/1/1935,10.24,
7/1/1935,11.08,
8/1/1935,11.24,
9/1/1935,11.59,
10/1/1935,12.46,
11/1/1935,12.94,
12/1/1935,13.43,
1/1/1936,14.31,
2/1/1936,14.6,
3/1/1936,14.92,
4/1/1936,13.77,
5/1/1936,14.4,
6/1/1936,14.84,
7/1/1936,15.85,
8/1/1936,15.99,
9/1/1936,16.01,
10/1/1936,17.23,
11/1/1936,17.280001,
12/1/1936,17.18,
1/1/1937,17.77,
2/1/1937,18.059999,
3/1/1937,17.92,
4/1/1937,16.43,
5/1/1937,16.26,
6/1/1937,15.4,
7/1/1937,16.77,
8/1/1937,16.040001,
9/1/1937,13.76,
10/1/1937,12.35,
11/1/1937,11.11,
12/1/1937,10.55,
1/1/1938,10.69,
2/1/1938,11.34,
3/1/1938,8.5,
4/1/1938,9.78,
5/1/1938,9.27,
6/1/1938,11.56,
7/1/1938,12.33,
8/1/1938,12.06,
9/1/1938,12.24,
10/1/1938,13.17,
11/1/1938,12.73,
12/1/1938,13.14,
1/1/1939,12.3,
2/1/1939,12.7,
3/1/1939,10.98,
4/1/1939,10.93,
5/1/1939,11.6,
6/1/1939,10.86,
7/1/1939,12.04,
8/1/1939,11.18,
9/1/1939,12.79,
10/1/1939,12.83,
11/1/1939,12.2,
12/1/1939,12.46,
1/1/1940,12.05,
2/1/1940,12.13,
3/1/1940,12.18,
4/1/1940,12.19,
5/1/1940,9.27,
6/1/1940,9.98,
7/1/1940,10.29,
8/1/1940,10.5,
9/1/1940,10.66,
10/1/1940,11.08,
11/1/1940,10.57,
12/1/1940,10.58,
1/1/1941,10.07,
2/1/1941,9.92,
3/1/1941,9.96,
4/1/1941,9.31,
5/1/1941,9.38,
6/1/1941,9.85,
7/1/1941,10.39,
8/1/1941,10.28,
9/1/1941,10.2,
10/1/1941,9.5,
11/1/1941,9.12,
12/1/1941,8.69,
1/1/1942,8.85,
2/1/1942,8.59,
3/1/1942,8.01,
4/1/1942,7.66,
5/1/1942,8.15,
6/1/1942,8.3,
7/1/1942,8.56,
8/1/1942,8.62,
9/1/1942,8.85,
10/1/1942,9.36,
11/1/1942,9.29,
12/1/1942,9.77,
1/1/1943,10.44,
2/1/1943,10.97,
3/1/1943,11.58,
4/1/1943,11.59,
5/1/1943,12.05,
6/1/1943,12.35,
7/1/1943,11.85,
8/1/1943,11.8,
9/1/1943,12.08,
10/1/1943,11.91,
11/1/1943,11.02,
12/1/1943,11.67,
1/1/1944,11.85,
2/1/1944,11.82,
3/1/1944,12.02,
4/1/1944,11.87,
5/1/1944,12.35,
6/1/1944,12.98,
7/1/1944,12.71,
8/1/1944,12.82,
9/1/1944,12.74,
10/1/1944,12.78,
11/1/1944,12.83,
12/1/1944,13.28,
1/1/1945,13.47,
2/1/1945,14.3,
3/1/1945,13.61,
4/1/1945,14.84,
5/1/1945,15.01,
6/1/1945,14.87,
7/1/1945,14.66,
8/1/1945,15.51,
9/1/1945,16.049999,
10/1/1945,16.65,
11/1/1945,17.190001,
12/1/1945,17.360001,
1/1/1946,18.57,
2/1/1946,17.280001,
3/1/1946,18.040001,
4/1/1946,18.76,
5/1/1946,19.18,
6/1/1946,18.43,
7/1/1946,17.959999,
8/1/1946,16.65,
9/1/1946,14.96,
10/1/1946,14.84,
11/1/1946,14.68,
12/1/1946,15.3,
1/1/1947,15.66,
2/1/1947,15.43,
3/1/1947,15.17,
4/1/1947,14.58,
5/1/1947,14.45,
6/1/1947,15.21,
7/1/1947,15.76,
8/1/1947,15.32,
9/1/1947,15.11,
10/1/1947,15.43,
11/1/1947,14.98,
12/1/1947,15.3,
1/1/1948,14.68,
2/1/1948,13.93,
3/1/1948,15.08,
4/1/1948,15.48,
5/1/1948,16.690001,
6/1/1948,16.74,
7/1/1948,15.85,
8/1/1948,15.97,
9/1/1948,15.49,
10/1/1948,16.5,
11/1/1948,14.75,
12/1/1948,15.2,
1/1/1949,15.22,
2/1/1949,14.62,
3/1/1949,15.06,
4/1/1949,14.71,
5/1/1949,14.19,
6/1/1949,14.16,
7/1/1949,15.04,
8/1/1949,15.22,
9/1/1949,15.58,
10/1/1949,16.040001,
11/1/1949,16.059999,
12/1/1949,16.790001,
1/1/1950,17.049999,
2/1/1950,17.219999,
3/1/1950,17.290001,
4/1/1950,18.07,
5/1/1950,18.780001,
6/1/1950,17.690001,
7/1/1950,17.84,
8/1/1950,18.42,
9/1/1950,19.450001,
10/1/1950,19.530001,
11/1/1950,19.51,
12/1/1950,20.41,
1/1/1951,21.66,
2/1/1951,21.799999,
3/1/1951,21.4,
4/1/1951,22.43,
5/1/1951,21.52,
6/1/1951,20.959999,
7/1/1951,22.4,
8/1/1951,23.280001,
9/1/1951,23.26,
10/1/1951,22.940001,
